time	plasma_radioactivity
12	7109.231
30	38258.29
42	49902.24
54	43840.09
66	35479.37
78	29254.2
90	24938.53
102	21891.53
114	19665.23
135	16972.12
165	14584.51
195	13075.46
225	12034.17
255	11269.32
285	10680.74
315	10211.25
345	9825.936
390	9358.676
450	8874.694
510	8494.323
570	8182.886
630	7919.835
690	7692.216
750	7491.454
810	7311.64
930	6999.138
1110	6612.178
1350	6193.459
1650	5767.7
1950	5412.994
2250	5108.215
2550	4841.084
