time	plasma_radioactivity
12	-754.8718
30	226.1539
42	10111.7
54	34840.09
66	36808.77
78	27932.59
90	21912.79
102	18256.7
114	15907.17
135	13392.31
165	11420.4
195	10277.81
225	9527.602
255	8992.457
285	8587.581
315	8267.521
345	8005.783
390	7688.145
450	7356.835
510	7093.052
570	6873.684
630	6685.325
690	6519.653
750	6371.218
810	6236.297
930	5997.152
1110	5692.695
1350	5353.379
1650	4999.222
1950	4698.487
2250	4436.88
2550	4205.711
