time	plasma_radioactivity
18	27287.66
42	31932.08
54	31581.61
66	30738.39
78	29703.58
90	28616.27
102	27542.34
114	26512.48
135	24850.58
165	22796.8
195	21077.02
225	19629.49
255	18399.69
285	17344.18
315	16429.3
345	15629.0
390	14600.34
450	13474.66
510	12556.87
570	11792.82
630	11145.61
690	10589.23
750	10104.89
810	9678.656
930	8960.799
1110	8122.766
1350	7289.503
1650	6523.014
1950	5942.67
2250	5481.588
2550	5102.5
