time	plasma_radioactivity
12	17959.41
30	38135.79
42	41123.1
54	39493.57
66	36364.67
78	33110.22
90	30177.73
102	27656.7
114	25519.42
135	22530.24
165	19442.01
195	17248.47
225	15619.71
255	14364.83
285	13368.36
315	12557.23
345	11883.22
390	11059.97
450	10207.18
510	9543.258
570	9008.319
630	8565.46
690	8190.72
750	7867.873
810	7585.54
930	7111.669
1110	6556.366
1350	5995.05
1650	5463.626
1950	5047.481
2250	4706.431
2550	4418.297
