time	plasma_radioactivity
18	0.0
42	45302.93
54	47037.98
66	39048.95
78	30311.11
90	23773.58
102	19591.27
114	17129.03
135	15126.15
165	14235.34
195	13915.76
225	13697.22
255	13497.14
285	13302.26
315	13110.52
345	12921.59
390	12643.3
450	12281.55
510	11930.15
570	11588.81
630	11257.23
690	10935.14
750	10622.26
810	10318.34
930	9736.327
1110	8924.283
1350	7945.922
1650	6872.393
1950	5943.903
2250	5140.856
2550	4446.303
