time	plasma_radioactivity
18	0.0
42	37448.68
54	38882.9
66	32278.94
78	25055.99
90	19651.89
102	16194.67
114	14159.32
135	12503.68
165	11767.32
195	11503.14
225	11322.49
255	11157.1
285	10996.0
315	10837.51
345	10681.34
390	10451.29
450	10152.26
510	9861.786
570	9579.62
630	9305.528
690	9039.279
750	8780.647
810	8529.415
930	8048.311
1110	7377.054
1350	6568.314
1650	5680.906
1950	4913.391
2250	4249.57
2550	3675.435
