time	plasma_radioactivity
12	-196.0439
30	6097.518
42	23558.87
54	44665.28
66	46904.43
78	40139.82
90	33837.54
102	29261.28
114	25999.42
135	22222.97
165	19058.96
195	17148.45
225	15865.8
255	14938.6
285	14231.25
315	13669.21
345	13208.26
390	12648.17
450	12064.78
510	11602.56
570	11221.01
630	10896.44
690	10613.98
750	10363.82
810	10139.17
930	9748.343
1110	9266.252
1350	8751.712
1650	8241.775
1950	7830.726
2250	7489.257
2550	7199.592
