time	plasma_radioactivity
18	0.0
42	35834.15
54	37206.58
66	30887.35
78	23975.8
90	18804.68
102	15496.5
114	13548.9
135	11964.64
165	11260.02
195	11007.23
225	10834.37
255	10676.11
285	10521.96
315	10370.29
345	10220.85
390	10000.73
450	9714.589
510	9436.636
570	9166.635
630	8904.359
690	8649.588
750	8402.106
810	8161.705
930	7701.341
1110	7059.023
1350	6285.148
1650	5435.997
1950	4701.57
2250	4066.368
2550	3516.983
