time	plasma_radioactivity
6	-364.1911
18	-255.6616
30	9246.883
42	55918.52
54	36224.59
66	22177.31
78	16389.39
90	13438.71
102	11684.11
114	10528.35
135	9239.029
165	8168.962
195	7514.55
225	7066.308
255	6735.134
285	6476.851
315	6267.102
345	6091.369
390	5872.33
450	5636.265
510	5442.218
570	5276.527
630	5131.128
690	5000.937
750	4882.579
810	4773.71
930	4578.148
1110	4325.524
1350	4041.202
1650	3743.72
1950	3492.088
2250	3274.738
2550	3084.275
