time	plasma_radioactivity
18	0.0
42	28077.98
54	29153.32
66	24201.86
78	18786.29
90	14734.45
102	12142.32
114	10616.27
135	9374.921
165	8822.815
195	8624.741
225	8489.292
255	8365.289
285	8244.504
315	8125.668
345	8008.573
390	7836.095
450	7611.888
510	7394.097
570	7182.537
630	6977.031
690	6777.404
750	6583.489
810	6395.122
930	6034.403
1110	5531.113
1350	4924.742
1650	4259.388
1950	3683.926
2250	3186.212
2550	2755.74
