time	plasma_radioactivity
18	0.0
42	36881.19
54	38293.73
66	31789.84
78	24676.34
90	19354.13
102	15949.3
114	13944.79
135	12314.24
165	11589.03
195	11328.86
225	11150.94
255	10988.06
285	10829.4
315	10673.31
345	10519.5
390	10292.95
450	9998.445
510	9712.369
570	9434.479
630	9164.539
690	8902.324
750	8647.61
810	8400.185
930	7926.37
1110	7265.283
1350	6468.796
1650	5594.833
1950	4838.947
2250	4185.183
2550	3619.747
