time	plasma_radioactivity
12	-562.0266
30	10069.49
42	44959.2
54	48044.73
66	34806.61
78	26799.91
90	22212.11
102	19352.08
114	17425.15
135	15244.89
165	13419.37
195	12300.2
225	11534.4
255	10969.97
285	10531.09
315	10175.85
345	9879.214
390	9510.974
450	9116.237
510	8793.579
570	8519.419
630	8279.853
690	8066.124
750	7872.424
810	7694.729
930	7376.567
1110	6967.239
1350	6508.299
1650	6029.526
1950	5625.31
2250	5276.537
2550	4971.094
